(Greatsword)
Wulfen Einherhar - Blade of Inquisition,stoic,p2,b1
Wulfen Einherhar - Blade of Inquisition,wrath,b2,p1
Wulfen Einherhar - Blade of Inquisition,fervid,r2,g1
Wulfen Einherhar - Blade of Inquisition,smiting,g2,r1
Wulfen Einherhar - Blade of Inquisition,vitality,g2,p1
Wulfen Einherhar - Blade of Inquisition,curse,p2,g1
Wulfen Einherhar - Blade of Inquisition,strife,b2,r1
Wulfen Einherhar - Blade of Inquisition,r2,b1,g1
Wulfen Einherhar - Blade of Inquisition,b2,r1,p1
(Polearm and Shield)
Insatiable Heart - Everburn,unyielding,g2,b1
Insatiable Heart - Everburn,tenacious,r2,g1
Insatiable Heart - Everburn,bulwark,p2,b1
Insatiable Heart - Everburn,distant ward,r2,p1
Insatiable Heart - Everburn,brotherhood,p2,r1
Insatiable Heart - Everburn,spirit shield,g2,p1
Insatiable Heart - Everburn,fervor,b2,g1
Insatiable Heart - Everburn,p2,r1,b1
Insatiable Heart - Everburn,b2,r1,g1
(Greatsword)
Mercy,stoic,p2,b1
Mercy,wrath,b2,p1
Mercy,fervid,r2,g1
Mercy,smiting,g2,r1
Mercy,vitality,g2,p1
Mercy,curse,p2,g1
Mercy,strife,b2,r1
Mercy,r2,b1,g1
Mercy,b2,r1,p1
(Polearm and Shield)
Rose Proclamation,unyielding,g2,b1
Rose Proclamation,tenacious,r2,g1
Rose Proclamation,bulwark,p2,b1
Rose Proclamation,distant ward,r2,p1
Rose Proclamation,brotherhood,p2,r1
Rose Proclamation,spirit shield,g2,p1
Rose Proclamation,fervor,b2,g1
Rose Proclamation,p2,r1,b1
Rose Proclamation,b2,r1,g1
(Greatsword)
Sacred Heart Greatsword,stoic,p2,
Sacred Heart Greatsword,wrath,b2,
Sacred Heart Greatsword,fervid,r2,
Sacred Heart Greatsword,smiting,g2,
Sacred Heart Greatsword,vitality,g2,
Sacred Heart Greatsword,curse,r2,
Sacred Heart Greatsword,strife,p2,
Sacred Heart Greatsword,b2,r1,
Sacred Heart Greatsword,g2,p1,
(Polearm and Shield)
Night Vigil Polearm and Shield,unyielding,p2,
Night Vigil Polearm and Shield,tenacious,r2,
Night Vigil Polearm and Shield,bulwark,b2,
Night Vigil Polearm and Shield,distant ward,g2,
Night Vigil Polearm and Shield,brotherhood,b2,
Night Vigil Polearm and Shield,spirit shield,r2,
Night Vigil Polearm and Shield,fervor,p2,
Night Vigil Polearm and Shield,p2,b1,
Night Vigil Polearm and Shield,r2,g1,
(Greatsword)
Exile Greatsword,stoic,b1,
Exile Greatsword,wrath,g1,
Exile Greatsword,fervid,r1,
Exile Greatsword,smiting,p1,
Exile Greatsword,vitality,r1,
Exile Greatsword,curse,g1,
Exile Greatsword,strife,b1,
Exile Greatsword,r1,p1,
Exile Greatsword,b1,g1,
(Polearm and Shield)
Thorn Polearm and Shield,unyielding,p1,
Thorn Polearm and Shield,tenacious,p1,
Thorn Polearm and Shield,bulwark,b1,
Thorn Polearm and Shield,distant ward,r1,
Thorn Polearm and Shield,brotherhood,g1,
Thorn Polearm and Shield,spirit shield,r1,
Thorn Polearm and Shield,fervor,p1,
Thorn Polearm and Shield,b1,g1,
Thorn Polearm and Shield,r1,p1,
(Greatsword)
Executioner Greatsword,stoic,,
Executioner Greatsword,wrath,,
Executioner Greatsword,fervid,,
Executioner Greatsword,smiting,,
Executioner Greatsword,vitality,,
Executioner Greatsword,curse,,
Executioner Greatsword,strife,,
Executioner Greatsword,b1,,
Executioner Greatsword,p1,,
(Polearm and Shield)
Guard Polearm and Shield,unyielding,,
Guard Polearm and Shield,tenacious,,
Guard Polearm and Shield,bulwark,,
Guard Polearm and Shield,distant ward,,
Guard Polearm and Shield,brotherhood,,
Guard Polearm and Shield,spirit shield,,
Guard Polearm and Shield,fervor,,
Guard Polearm and Shield,g1,,
Guard Polearm and Shield,r1,,
Rosen Oath Helmet,aegis,r2,b1
Rosen Oath Helmet,iron helmet,g2,p1
Rosen Oath Helmet,wrath,g2,b1
Rosen Oath Helmet,resilience,p2,r1
Rosen Oath Helmet,smiting,r2,p1
Rosen Oath Helmet,curse,b2,g1
Rosen Oath Helmet,wealth,g2,b1
Rosen Oath Helmet,r2,p1,g1
Rosen Oath Helmet,b2,r1,p1
Black Iris Helmet,aegis,b2,
Black Iris Helmet,iron helmet,g2,
Black Iris Helmet,wrath,g2,
Black Iris Helmet,resilience,b2,
Black Iris Helmet,smiting,r2,
Black Iris Helmet,curse,p2,
Black Iris Helmet,wealth,g2,
Black Iris Helmet,b2,r1,
Black Iris Helmet,r2,p1,
Crusade Helmet,aegis,b1,
Crusade Helmet,iron helmet,g1,
Crusade Helmet,wrath,r1,
Crusade Helmet,resilience,g1,
Crusade Helmet,smiting,b1,
Crusade Helmet,curse,p1,
Crusade Helmet,wealth,b1,
Crusade Helmet,r1,g1,
Crusade Helmet,p1,b1,
Ceremonial Helmet,aegis,,
Ceremonial Helmet,iron helmet,,
Ceremonial Helmet,wrath,,
Ceremonial Helmet,resilience,,
Ceremonial Helmet,smiting,,
Ceremonial Helmet,curse,,
Ceremonial Helmet,wealth,,
Ceremonial Helmet,b1,,
Ceremonial Helmet,r1,,
Rosen Oath Breastplate,aegis,p2,r1
Rosen Oath Breastplate,distant ward,r2,g1
Rosen Oath Breastplate,iron helmet,g2,b1
Rosen Oath Breastplate,stoic,p2,r1
Rosen Oath Breastplate,fervid,b2,p1
Rosen Oath Breastplate,fervor,p2,b1
Rosen Oath Breastplate,vitality,g2,r1
Rosen Oath Breastplate,b2,p1,g1
Rosen Oath Breastplate,r2,b1,g1
Black Iris Breastplate,aegis,p2,
Black Iris Breastplate,distant ward,p2,
Black Iris Breastplate,iron helmet,g2,
Black Iris Breastplate,stoic,b2,
Black Iris Breastplate,fervid,r2,
Black Iris Breastplate,fervor,r2,
Black Iris Breastplate,vitality,p2,
Black Iris Breastplate,g2,b1,
Black Iris Breastplate,b2,g1,
Crusade Breastplate,aegis,g1,
Crusade Breastplate,distant ward,p1,
Crusade Breastplate,iron helmet,r1,
Crusade Breastplate,stoic,b1,
Crusade Breastplate,fervid,g1,
Crusade Breastplate,fervor,p1,
Crusade Breastplate,vitality,r1,
Crusade Breastplate,r1,p1,
Crusade Breastplate,b1,g1,
Ceremonial Breastplate,aegis,,
Ceremonial Breastplate,distant ward,,
Ceremonial Breastplate,iron helmet,,
Ceremonial Breastplate,stoic,,
Ceremonial Breastplate,fervid,,
Ceremonial Breastplate,fervor,,
Ceremonial Breastplate,vitality,,
Ceremonial Breastplate,p1,,
Ceremonial Breastplate,g1,,
Rosen Oath Bracers,aegis,r2,b1
Rosen Oath Bracers,wrath,p2,g1
Rosen Oath Bracers,burst,b2,r1
Rosen Oath Bracers,fervid,g2,p1
Rosen Oath Bracers,elusive,p2,r1
Rosen Oath Bracers,deft,b2,g1
Rosen Oath Bracers,wealth,r2,p1
Rosen Oath Bracers,g2,p1,b1
Rosen Oath Bracers,g2,r1,b1
Black Iris Bracers,aegis,b2,
Black Iris Bracers,wrath,p2,
Black Iris Bracers,burst,r2,
Black Iris Bracers,fervid,g2,
Black Iris Bracers,elusive,r2,
Black Iris Bracers,deft,g2,
Black Iris Bracers,wealth,b2,
Black Iris Bracers,p2,b1,
Black Iris Bracers,g2,p1,
Crusade Bracers,aegis,p1,
Crusade Bracers,wrath,g1,
Crusade Bracers,burst,b1,
Crusade Bracers,fervid,r1,
Crusade Bracers,elusive,p1,
Crusade Bracers,deft,b1,
Crusade Bracers,wealth,g1,
Crusade Bracers,r1,b1,
Crusade Bracers,r1,g1,
Ceremonial Bracers,aegis,,
Ceremonial Bracers,wrath,,
Ceremonial Bracers,burst,,
Ceremonial Bracers,fervid,,
Ceremonial Bracers,elusive,,
Ceremonial Bracers,deft,,
Ceremonial Bracers,wealth,,
Ceremonial Bracers,p1,,
Ceremonial Bracers,g1,,
Rosen Oath Pants,tenacious,r2,g1
Rosen Oath Pants,iron helmet,p2,r1
Rosen Oath Pants,stoic,b2,g1
Rosen Oath Pants,fervid,p2,b1
Rosen Oath Pants,fervor,g2,p1
Rosen Oath Pants,elusive,r2,b1
Rosen Oath Pants,curse,b2,r1
Rosen Oath Pants,r2,p1,g1
Rosen Oath Pants,b2,r1,g1
Black Iris Breeches,tenacious,r2,
Black Iris Breeches,iron helmet,p2,
Black Iris Breeches,stoic,b2,
Black Iris Breeches,fervid,p2,
Black Iris Breeches,fervor,b2,
Black Iris Breeches,elusive,g2,
Black Iris Breeches,curse,r2,
Black Iris Breeches,g2,r1,
Black Iris Breeches,b2,g1,
Crusade Breeches,tenacious,p1,
Crusade Breeches,iron helmet,g1,
Crusade Breeches,stoic,b1,
Crusade Breeches,fervid,p1,
Crusade Breeches,fervor,r1,
Crusade Breeches,elusive,p1,
Crusade Breeches,curse,r1,
Crusade Breeches,b1,g1,
Crusade Breeches,r1,g1,
Ceremonial Breeches,tenacious,,
Ceremonial Breeches,iron helmet,,
Ceremonial Breeches,stoic,,
Ceremonial Breeches,fervid,,
Ceremonial Breeches,fervor,,
Ceremonial Breeches,elusive,,
Ceremonial Breeches,curse,,
Ceremonial Breeches,b1,,
Ceremonial Breeches,r1,,
Rosen Oath Boots,tenacious,p2,b1
Rosen Oath Boots,ethereal,g2,p1
Rosen Oath Boots,stoic,r2,b1
Rosen Oath Boots,wrath,p2,g1
Rosen Oath Boots,burst,b2,r1
Rosen Oath Boots,smiting,g2,p1
Rosen Oath Boots,vitality,r2,g1
Rosen Oath Boots,p2,r1,b1
Rosen Oath Boots,g2,p1,b1
Black Iris Sabatons,tenacious,r2,
Black Iris Sabatons,ethereal,p2,
Black Iris Sabatons,stoic,p2,
Black Iris Sabatons,wrath,g2,
Black Iris Sabatons,burst,b2,
Black Iris Sabatons,smiting,r2,
Black Iris Sabatons,vitality,r2,
Black Iris Sabatons,b2,g1,
Black Iris Sabatons,p2,r1,
Crusade Sabatons,tenacious,p1,
Crusade Sabatons,ethereal,b1,
Crusade Sabatons,stoic,r1,
Crusade Sabatons,wrath,g1,
Crusade Sabatons,burst,p1,
Crusade Sabatons,smiting,b1,
Crusade Sabatons,vitality,p1,
Crusade Sabatons,r1,g1,
Crusade Sabatons,b1,g1,
Ceremonial Sabatons,tenacious,,
Ceremonial Sabatons,ethereal,,
Ceremonial Sabatons,stoic,,
Ceremonial Sabatons,wrath,,
Ceremonial Sabatons,burst,,
Ceremonial Sabatons,smiting,,
Ceremonial Sabatons,vitality,,
Ceremonial Sabatons,r1,,
Ceremonial Sabatons,p1,,
